eV,flux
 682.506897,            15.523703
 683.862122,            15.438105
 685.222717,            15.614608
 686.588745,            15.710642
 687.960266,            15.819407
 689.337219,            16.033077
 690.719727,            16.233684
 692.107849,            16.490224
 693.501526,            16.486228
 694.900818,            16.701221
 696.305725,            16.827445
 697.716309,            16.813567
 699.132751,            16.787394
 700.554810,            16.641452
 701.982727,            16.608900
 703.416504,            16.787700
 704.856140,            16.643163
 706.301636,            15.874579
 707.753174,            15.858802
 709.210571,            15.678791
 710.674072,            15.629755
 712.143555,            15.712395
 713.619141,            16.055516
 715.100952,            16.264155
 716.588806,            16.476137
 718.082947,            16.589313
 719.583313,            16.662227
 721.089905,            16.743912
 722.602783,            16.740722
 724.122192,            16.360108
 725.647888,            17.369796
 727.180054,            17.989628
 728.718628,            17.968276
 730.263855,            17.650079
 731.815613,            17.617680
 733.373962,            17.556087
 734.938904,            17.559669
 736.510620,            17.965553
 738.088989,            18.432511
 739.674316,            18.633552
 741.266296,            18.204164
 742.865112,            18.149648
 744.470947,            18.180959
 746.083740,            18.057886
 747.703491,            17.461219
 749.330383,            17.879300
 750.964294,            18.127578
 752.605286,            15.491830
 754.253540,             8.007793
 755.908997,             9.855893
 757.571838,            15.720030
 759.241882,            15.794797
 760.919373,            15.933314
 762.604309,            15.865922
 764.296631,            16.037192
 765.996460,            16.216307
 767.704041,            16.332540
 769.419128,            16.818094
 771.141968,            17.164693
 772.872437,            17.238252
 774.610718,            17.455034
 776.356934,            17.364091
 778.110901,            17.271203
 779.872925,            17.309162
 781.642883,            17.342190
 783.420898,            17.020995
 785.207092,            17.410831
 787.001343,            17.595444
 788.803833,            17.579038
 790.614624,            17.724510
 792.433777,            17.855074
 794.261414,            18.061091
 796.097351,            18.028410
 797.941772,            18.149458
 799.794861,            18.342068
 801.656555,            18.565771
 803.526855,            18.678196
 805.406006,            18.807009
 807.293823,            18.515972
 809.190674,            18.699003
 811.096436,            19.299697
 813.011169,            19.187587
 814.934998,            18.683918
 816.867798,            19.692198
 818.809875,            19.820269
 820.761230,            19.984358
 822.721985,            20.424059
 824.691956,            21.057542
 826.671509,            21.204297
 828.660583,            20.690663
 830.659302,            18.427544
 832.667542,            20.524179
 834.685608,            20.313625
 836.713379,            20.441282
 838.751160,            20.479887
 840.798767,            20.554876
 842.856506,            19.890451
 844.924316,            20.067915
 847.002319,            20.472334
 849.090515,            20.452695
 851.189026,            20.594008
 853.298035,            20.768959
 855.417358,            20.809619
 857.547363,            20.725465
 859.687927,            20.565589
 861.839233,            21.235841
 864.001404,            21.115881
 866.174377,            20.702644
 868.358337,            20.354192
 870.553284,            20.328863
 872.759338,            20.382143
 874.976685,            20.186948
 877.205322,            19.943336
 879.445251,            19.983081
 881.696655,            20.116796
 883.959778,            20.066302
 886.234497,            20.039506
 888.520813,            20.260477
 890.819092,            20.457588
 893.129150,            20.506262
 895.451355,            20.821029
 897.785583,            20.945057
 900.132080,            21.205622
 902.490906,            20.776250
 904.862000,            19.883256
 907.245667,            19.898776
 909.641968,            19.840265
 912.050903,            20.019146
 914.472717,            20.349035
 916.907227,            20.674433
 919.354797,            20.914245
 921.815552,            20.992342
 924.289551,            20.950835
 926.776733,            20.749788
 929.277527,            20.551904
 931.791687,            20.539784
 934.319458,            20.613941
 936.861084,            20.517091
 939.416565,            20.671237
 941.985962,            20.763736
 944.569397,            20.552605
 947.167175,             1.591939
 949.779297,             2.502324
 952.405884,            10.577043
 955.046997,            10.899509
 957.702698,            11.066947
 960.373352,            11.180693
 963.058899,            11.283579
 965.759399,            11.288398
 968.475220,            11.458797
 971.206238,            11.492393
 973.952820,            11.384828
 976.714966,            11.666993
 979.492859,            11.504000
 982.286560,            11.577112
 985.096130,            11.778206
 987.921814,            11.898231
 990.763916,            12.086565
 993.622375,            12.085864
 996.497314,            12.173086
 999.389038,            12.363507
1002.297424,            12.475759
1005.222961,            12.676051
1008.165527,            12.888473
1011.125427,            12.885633
1014.102661,            13.023342
1017.097595,            13.435556
1020.110229,            14.297944
1023.140808,            14.254851
1026.189453,            13.680455
1029.256104,            13.457194
1032.341309,            13.222774
1035.445068,            13.092363
1038.567627,            13.284689
1041.708862,            13.296282
1044.869385,            13.477158
1048.048950,            13.195429
1051.248047,            13.407791
1054.466675,            13.682580
1057.705200,            13.669689
1060.963623,            13.595902
1064.242065,            13.622699
1067.540771,            13.718862
1070.860229,            13.883740
1074.200317,            13.893483
1077.561279,            14.073922
1080.943359,            14.175772
1084.346680,            14.037418
1087.771484,            14.270587
1091.218018,            14.225098
1094.686523,            14.465160
1098.177124,            14.315597
1101.690063,            14.561882
1105.225464,            14.302044
1108.783691,            14.680498
1112.364990,            14.689196
1115.969360,            14.819211
1119.597168,            14.969668
1123.248657,            15.214637
1126.924194,            14.956016
1130.623779,            14.994345
1134.347656,            15.021169
1138.096069,            18.175512
1141.869507,            10.743680
1145.668091,            18.279498
1149.491943,            11.938221
1153.341309,            24.775857
1157.216675,            23.803251
1161.118164,            12.704751
1165.046021,            11.245137
1169.000610,            11.108213
1172.982056,            20.711486
1176.990601,            16.585256
1181.026855,            18.917629
1185.090820,            19.587735
1189.182739,            19.571465
1193.302979,            19.833936
1197.452148,            19.710274
1201.630127,            19.897333
1205.837402,            20.007908
1210.074097,            20.165506
1214.340698,            20.318627
1218.637695,            19.890435
1222.965088,            19.011349
1227.323242,            20.364412
1231.712646,            20.279898
1236.133545,            21.464792
1240.586304,            19.107341
1245.071289,            19.242994
1249.588745,            20.108201
1254.139160,            20.661511
1258.722778,            20.494554
1263.340088,            20.831737
1267.991455,            21.062115
1272.677002,            21.032342
1277.397461,            21.129650
1282.153076,            20.657794
1286.944092,            20.157548
1291.771240,            21.336223
1296.634521,            21.000265
1301.534790,            21.484369
1306.472046,            21.361686
1311.446899,            21.133095
1316.459839,            21.277749
1321.511230,            20.977815
1326.601807,            21.261015
1331.731445,            21.352778
1336.900879,            21.819133
1342.110840,            21.523500
1347.361450,            21.866903
1352.653198,            22.032500
1357.986816,            22.155108
1363.362549,            21.067920
1368.781250,            21.754437
1374.242920,            21.729614
1379.748413,            21.784749
1385.298340,            22.196237
1390.892944,            22.258152
1396.532959,            22.584822
1402.218994,            22.610944
1407.951416,            23.316794
1413.730713,            23.249089
1419.557983,            23.505633
1425.433472,            23.563722
1431.357788,            24.078006
1437.331299,            24.146962
1443.354980,            23.478332
1449.429443,            24.323342
1455.555420,            24.543448
1461.733032,            24.301216
1467.963379,            24.659454
1474.247314,            24.634364
1480.585205,            24.543902
1486.977539,            24.725711
1493.425659,            24.842864
1499.929810,            24.848093
1506.490845,            24.905485
1513.109619,            25.109415
1519.786621,            25.302301
1526.523071,            25.371872
1533.319214,            25.719879
1540.176392,            26.140676
1547.095093,            25.823268
1554.076050,            26.033686
1561.120605,            25.645632
1568.229126,            25.883658
1575.402832,            26.345006
1582.642334,            25.966185
1589.948608,            26.533554
1597.322754,            26.906324
1604.765747,            24.654773
1612.278198,            21.338269
1619.861572,            24.320724
1627.516235,            25.500881
1635.243896,            27.376382
1643.045410,            28.048126
1650.921265,            27.870090
1658.873413,            28.469118
1666.902344,            28.731249
1675.009521,            28.947146
1683.195679,            29.393163
1691.462402,            29.341766
1699.810669,            29.517214
1708.241943,            29.850506
1716.757080,            30.360548
1725.357666,            30.188245
1734.044556,            29.936576
1742.819702,            34.300545
1751.684204,            34.255512
1760.639038,            32.745434
1769.685913,            33.964211
1778.826294,            33.785353
1788.061523,            35.598523
1797.393555,            36.271082
1806.822998,            36.518863
1816.352051,            36.810674
1825.982300,            38.081343
1835.715088,            38.768214
1845.552368,            38.798254
1855.495117,            38.622371
1865.546143,            39.065986
1875.706421,            39.071972
1885.978149,            39.586046
1896.362793,            39.424909
1906.862427,            40.301364
1917.479004,            41.089499
1928.214600,            36.901746
1939.070923,            40.699887
1950.050415,            39.520390
1961.154663,            42.362405
1972.386353,            42.605480
1983.747192,            42.519867
1995.239502,            42.821329
2006.866211,            41.892777
2018.629150,            43.485239
2030.530518,            42.874462
2042.573242,            42.525497
2054.759521,            44.355680
2067.092285,            44.700603
2079.573975,            43.861750
2092.207031,            42.056939
2104.995117,            40.480677
2117.939941,            37.691047
2131.045166,            36.096458
2144.313477,            32.858297
2157.747803,            30.878762
2171.352051,            29.094923
2185.128418,            25.206447
2199.081055,            24.833080
2213.212891,            23.587769
2227.527832,            25.888943
2242.028809,            25.046655
2256.719971,            25.084637
2271.604736,            29.769177
2286.687500,            26.473177
2301.971680,            26.175972
2317.461670,            26.108044
2333.161377,            27.856832
2349.075195,            27.323814
2365.208008,            26.454217
2381.563721,            28.317747
2398.146973,            26.199647
2414.962891,            22.183302
2432.016357,            21.629762
2449.312744,            19.302117
2466.856201,            23.999008
2484.653320,            18.568349
2502.708984,            19.173900
2521.028809,            18.402254
2539.618896,            20.345912
2558.485107,            22.586162
2577.634033,            21.386641
2597.071289,            21.938070
2616.804688,            20.393390
2636.839355,            20.907966
2657.183838,            18.013573
2677.844482,            -0.221288
2698.829102,             0.971927
2720.144531,             2.010571
2741.800049,             0.619535
2763.802979,             1.648848
2786.161621,             1.316865
2808.885254,             2.216088
2831.982666,             1.224180
2855.462891,             7.381268
2879.335449,           -43.402623
2903.611328,            -8.652127
2928.299072,           -10.679418
2953.411133,            85.695566
2978.957031,         -6858.398887
3004.948975,           953.617881
3031.398438,         53266.479334
3058.317627,           -68.669042
3085.719238,           179.339162
